blobId,type,target,targetValue,docURL
,mouseover,Div,"
                    SE CONNECTER
                    
                         
                        
                            
                            
                        
          ",http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123317,mouseover,Heading,"SE CONNECTER",http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123318,mousedown,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseup,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123319,click,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123320,mousedown,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseup,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123321,click,"function SVGSVGEl",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
123322,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
,mouseover,"function SVGPathE",,http://www.iri.centrepompidou.fr/dev/~sauretn/integration/home.html
